1031,254,787,1274,432,803,632,310,2317,479,135,2449,3822,433,756,860,1708,36,1211,-254,1180
2062,508,1574,2548,864,1606,1264,620,4634,958,270,4898,7644,866,1512,1720,3416,72,2422,-508,2360
3093,762,2361,3822,1296,2409,1896,930,6951,1437,405,7347,11466,1299,2268,2580,5124,108,3633,-762,3540
4124,1016,3148,5096,1728,3212,2528,1240,9268,1916,540,9796,15288,1732,3024,3440,6832,144,4844,-1016,4720
5155,1270,3935,6370,2160,4015,3160,1550,11585,2395,675,12245,19110,2165,3780,4300,8540,180,6055,-1270,5900
6186,1524,4722,7644,2592,4818,3792,1860,13902,2874,810,14694,22932,2598,4536,5160,10248,216,7266,-1524,7080
7217,1778,5509,8918,3024,5621,4424,2170,16219,3353,945,17143,26754,3031,5292,6020,11956,252,8477,-1778,8260
8248,2032,6296,10192,3456,6424,5056,2480,18536,3832,1080,19592,30576,3464,6048,6880,13664,288,9688,-2032,9440
9279,2286,7083,11466,3888,7227,5688,2790,20853,4311,1215,22041,34398,3897,6804,7740,15372,324,10899,-2286,10620
10310,2540,7870,12740,4320,8030,6320,3100,23170,4790,1350,24490,38220,4330,7560,8600,17080,360,12110,-2540,11800
11341,2794,8657,14014,4752,8833,6952,3410,25487,5269,1485,26939,42042,4763,8316,9460,18788,396,13321,-2794,12980
12372,3048,9444,15288,5184,9636,7584,3720,27804,5748,1620,29388,45864,5196,9072,10320,20496,432,14532,-3048,14160
13403,3302,10231,16562,5616,10439,8216,4030,30121,6227,1755,31837,49686,5629,9828,11180,22204,468,15743,-3302,15340
14434,3556,11018,17836,6048,11242,8848,4340,32438,6706,1890,34286,53508,6062,10584,12040,23912,504,16954,-3556,16520
15465,3810,11805,19110,6480,11244,9480,4650,34755,7185,2025,36735,57330,6495,11340,12900,25620,540,18165,-3810,17700
16496,4064,12592,20384,6912,12449,10112,4960,37072,7664,2160,39184,61152,6928,12096,13760,27328,576,19376,-4064,18880
17527,4066,13379,21658,7344,13654,10744,5270,39389,8143,2295,41633,64974,7361,12852,14620,29036,612,20587,-4318,20060
